ID,Latitude,Longitude,Structure
555,40.362674,-100.66794,ROCK PILE
556,40.362716,-100.6682,ROCK PILE
557,40.363016,-100.668608,ROCK PILE
558,40.362864,-100.66851,ROCK PILE
559,40.363085,-100.668798,ROCK PILE
560,40.363209,-100.669001,ROCK PILE
561,40.363261,-100.66912,ROCK PILE
562,40.363321,-100.669298,ROCK PILE
563,40.363826,-100.669947,ROCK PILE
564,40.362818,-100.667955,ROCK PILE
565,40.362713,-100.66774,ROCK PILE
566,40.362543,-100.667654,ROCK PILE
567,40.362456,-100.667498,ROCK PILE
568,40.362474,-100.666839,TREE
569,40.362418,-100.66632,TREE
570,40.362292,-100.666376,TREE
571,40.361643,-100.666371,ROCK PILE
572,40.360718,-100.666796,ROCK PILE
573,40.360206,-100.667325,ROCK PILE
574,40.360186,-100.666818,ROCK PILE
575,40.363391,-100.66632,TREE
576,40.362663,-100.665631,TREE
577,40.362641000000004,-100.665254,TREE
578,40.363978,-100.66624,TREE
579,40.363739,-100.665952,TREE
580,40.365473,-100.665653,TREE
581,40.379325,-100.676502,STRUCTURE
582,40.379325,-100.676502,STRUCTURE
583,40.379325,-100.676502,STRUCTURE
584,40.380277,-100.676019,STRUCTURE
585,40.380277,-100.676019,STRUCTURE
586,40.380277,-100.676019,STRUCTURE
587,40.3609,-100.685961,TREE
588,40.3609,-100.685961,TREE
589,40.3609,-100.685961,TREE
590,40.354943,-100.681355,BRUSH PILE
591,40.351931,-100.681203,BRUSH PILE
592,40.352875,-100.680379,BRUSH PILE
593,40.365123,-100.677171,BRUSH PILE
