ID,Latitude,Longitude,Structure
386,41.13456,-100.9865,TREE
387,41.13458,-100.9866,TREE
388,41.13453,-100.9866,TREE
389,41.13456,-100.9867,TREE
390,41.13467,-100.989,TREE
391,41.13458,-100.9893,TREE
392,41.13464,-100.9894,TREE
393,41.13458,-100.9895,TREE
394,41.135,-100.9898,TREE
395,41.13469,-100.9901,TREE
396,41.13492,-100.9904,TREE
397,41.13461,-100.9908,TREE
399,41.13456,-100.9865,TREE
400,41.13458,-100.9865,TREE
401,41.1346,-100.991,TREE
402,41.13583,-100.9894,FISH ATTRACTOR
403,41.13472,-100.9893,FISH ATTRACTOR
