Waterbody Name,Waterbody Code,Lat,Lon,Structure Name,Year Installed
Birdwood,4285,41.11663,-100.8333,PVC structures,2015
Birdwood,4285,41.11737,-100.8388,PVC structures,2015
Birdwood,4285,41.1173,-100.8373,PVC structures,2015
Birdwood,4285,41.10157,-100.8310,PVC structures,2015
Birdwood,4285,41.11633,-100.8308,PVC structures,2015
Birdwood,4285,41.11586,-100.8307,Brush Piles,2016
Birdwood,4285,41.10611,-100.8577,Brush Piles,2016
Birdwood,4285,41.11636,-100.8370,Brush Piles,2016
Birdwood,4286,41.11611,-100.8355,Artifical Structures,2016
Birdwood,4287,41.11747,-100.8387,Artifical Structures,2016
Birdwood,4288,41.11713,-100.8363,Trees,2017
Birdwood,4289,41.1174,-100.8379,Trees,2017
Birdwood,4290,41.11628,-100.8360,Trees,2017
