Waterbody Name,Waterbody Code,Lat,Lon,Structure Name,Year Installed,,,,,,,,
East Gothenburg,6245,40.888556,-100.105722,Trees,2/11/2020,,,,,,,,
East Gothenburg,6245,40.888667,-100.105639,Trees,2/11/2020,,,,,,,,
East Gothenburg,6245,40.88875,-100.105556,Trees,2/11/2020,,,,,,,,
East Gothenburg,6245,40.88875,-100.105417,Trees,2/11/2020,,,,,,,,
East Gothenburg,6245,40.888583,-100.105444,Trees,2/11/2020,,,,,,,,
East Gothenburg,6245,40.8885,-100.105472,Trees,2/11/2020,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
