Location,Waterbody Code,Lat,Lon,Structure,Year Installed
Glen Cunningham Lake,5720,41.339413,-96.04992704,CEDAR,2019
Glen Cunningham Lake,5720,41.33941401,-96.04993198,CEDAR,2019
Glen Cunningham Lake,5720,41.33924603,-96.04941398,CEDAR,2019
Glen Cunningham Lake,5720,41.33921896,-96.04937903,CEDAR,2019
Glen Cunningham Lake,5720,41.33930898,-96.04914702,CEDAR,2019
Glen Cunningham Lake,5720,41.33945097,-96.04930602,CEDAR,2019
Glen Cunningham Lake,5720,41.33942801,-96.04937903,CEDAR,2019
Glen Cunningham Lake,5720,41.340003,-96.04943301,CEDAR,2019
Glen Cunningham Lake,5720,41.34002597,-96.04941901,CEDAR,2019
Glen Cunningham Lake,5720,41.34005103,-96.04934701,CEDAR,2019
Glen Cunningham Lake,5720,41.34003703,-96.04931599,CEDAR,2019
Glen Cunningham Lake,5720,41.34005497,-96.04922497,CEDAR,2019
Glen Cunningham Lake,5720,41.34026703,-96.04958799,CEDAR,2019
Glen Cunningham Lake,5720,41.340275,-96.04959603,CEDAR,2019
Glen Cunningham Lake,5720,41.340233,-96.04914702,CEDAR,2019
Glen Cunningham Lake,5720,41.34018598,-96.049058,CEDAR,2019
Glen Cunningham Lake,5720,41.34016603,-96.04901399,CEDAR,2019
Glen Cunningham Lake,5720,41.34032504,-96.048886,CEDAR,2019
Glen Cunningham Lake,5720,41.340348,-96.04887201,CEDAR,2019
Glen Cunningham Lake,5720,41.340377,-96.04883404,CEDAR,2019
Glen Cunningham Lake,5720,41.34041598,-96.04880503,CEDAR,2019
Glen Cunningham Lake,5720,41.34038698,-96.04860504,CEDAR,2019
Glen Cunningham Lake,5720,41.34039704,-96.04857302,CEDAR,2019
Glen Cunningham Lake,5720,41.34040098,-96.04854402,CEDAR,2019
Glen Cunningham Lake,5720,41.34039402,-96.04853396,CEDAR,2019
Glen Cunningham Lake,5720,41.34014499,-96.04853698,CEDAR,2019
Glen Cunningham Lake,5720,41.34009596,-96.04852198,CEDAR,2019
Glen Cunningham Lake,5720,41.340074,-96.04852701,CEDAR,2019
Glen Cunningham Lake,5720,41.34016201,-96.04841804,CEDAR,2019
Glen Cunningham Lake,5720,41.34035404,-96.04810598,CEDAR,2019
Glen Cunningham Lake,5720,41.34037499,-96.048095,CEDAR,2019
Glen Cunningham Lake,5720,41.34037198,-96.04807598,CEDAR,2019
Glen Cunningham Lake,5720,41.33862804,-96.05085097,CEDAR,2019
Glen Cunningham Lake,5720,41.34090104,-96.04645098,CEDAR,2019
Glen Cunningham Lake,5720,41.340937,-96.04642499,CEDAR,2019
Glen Cunningham Lake,5720,41.34094798,-96.04636196,CEDAR,2019
Glen Cunningham Lake,5720,41.34103096,-96.04623598,CEDAR,2019
Glen Cunningham Lake,5720,41.34106801,-96.04620899,CEDAR,2019
Glen Cunningham Lake,5720,41.34108603,-96.04631402,CEDAR,2019
Glen Cunningham Lake,5720,41.34111101,-96.04628501,CEDAR,2019
Glen Cunningham Lake,5720,41.34112299,-96.04621897,CEDAR,2019
Glen Cunningham Lake,5720,41.34116801,-96.04609299,CEDAR,2019
Glen Cunningham Lake,5720,41.34118401,-96.04605401,CEDAR,2019
Glen Cunningham Lake,5720,41.34067196,-96.04688298,CEDAR,2019
Glen Cunningham Lake,5720,41.34120899,-96.04602199,CEDAR,2019
Glen Cunningham Lake,5720,41.34131997,-96.04588,CEDAR,2019
Glen Cunningham Lake,5720,41.34133204,-96.04601897,CEDAR,2019
Glen Cunningham Lake,5720,41.34133003,-96.04609299,CEDAR,2019
Glen Cunningham Lake,5720,41.34132097,-96.04613598,CEDAR,2019
Glen Cunningham Lake,5720,41.34130497,-96.04619097,CEDAR,2019
Glen Cunningham Lake,5720,41.34129399,-96.046225,CEDAR,2019
Glen Cunningham Lake,5720,41.34123003,-96.04650102,CEDAR,2019
Glen Cunningham Lake,5720,41.34120799,-96.04651401,CEDAR,2019
Glen Cunningham Lake,5720,41.340663,-96.04677603,CEDAR,2019
