Waterbody Name,Waterbody Code,Lat,Lon,Structure Name,Year Installed
Lake Helen,6705,40.93906,-100.1626,Mossbacks & Trees,Unknown
Lake Helen,6706,40.94075,-100.1626,Trees,Unknown
Lake Helen,6707,40.94156,-100.1625,Trees,Unknown
Lake Helen,6708,40.94153,-100.1626,Trees,Unknown
Lake Helen,6709,40.94078,-100.1641,Trees,Unknown
Lake Helen,6710,40.94058,-100.1642,Trees,Unknown
Lake Helen,6711,40.94064,-100.1641,Mossbacks  ,Unknown
Lake Helen,6712,40.93975,-100.1641,Trees,Unknown
Lake Helen,6713,40.93975,-100.1643,Trees,Unknown
Lake Helen,6714,40.93969,-100.1648,Trees,Unknown
Lake Helen,6715,40.94019,-100.1626,Mossbacks,Unknown
Lake Helen,6716,40.93983,-100.1653,Mossbacks,Unknown
Lake Helen,6717,40.94089,-100.1638,Gravel Shoals,Unknown
Lake Helen,6718,40.94081,-100.1637,Gravel Shoals,Unknown
Lake Helen,6719,40.94094,-100.1637,Gravel Shoals,Unknown
Lake Helen,6720,40.94131,-100.1638,Gravel Shoals,Unknown
Lake Helen,6721,40.94122,-100.1640,Gravel Shoals,Unknown
Lake Helen,6722,40.94069,-100.1641,Gravel Shoals,Unknown
Lake Helen,6723,40.94014,-100.1648,Gravel Shoals,Unknown
Lake Helen,6724,40.94022,-100.1646,Gravel Shoals,Unknown
Lake Helen,6725,40.94000,-100.1634,Gravel Shoals,Unknown
Lake Helen,6726,40.93981,-100.1632,Gravel Shoals,Unknown
Lake Helen,6727,40.93997,-100.1631,Gravel Shoals,Unknown
Lake Helen,6728,40.93997,-100.1618,Gravel Shoals,Unknown
Lake Helen,6729,40.94022,-100.1618,Gravel Shoals,Unknown
Lake Helen,6730,40.94044,-100.1619,Gravel Shoals,Unknown
Lake Helen,6731,40.94106,-100.1641,Stump,Unknown
Lake Helen,6732,40.93989,-100.1656,Stump,Unknown
Lake Helen,6733,40.94139,-100.1633,Rip Rap Piles,Unknown
Lake Helen,6734,40.94122,-100.1641,Rip Rap Piles,Unknown
Lake Helen,6735,40.94003,-100.1654,Rip Rap Piles,Unknown
Lake Helen,6736,40.94086,-100.1643,Rip Rap Piles,Unknown
Lake Helen,6737,40.94058,-100.1643,Rip Rap Piles,Unknown
Lake Helen,6738,40.94053,-100.1641,Rip Rap Piles,Unknown
Lake Helen,6739,40.94047,-100.1639,Rip Rap Piles,Unknown
Lake Helen,6740,40.94042,-100.1638,Rip Rap Piles,Unknown
Lake Helen,6741,40.94033,-100.1637,Rip Rap Piles,Unknown
Lake Helen,6742,40.95553,-100.1735,Rip Rap Piles,Unknown
Lake Helen,6743,40.94017,-100.1638,Rip Rap Piles,Unknown
Lake Helen,6744,40.94019,-100.164,Rip Rap Piles,Unknown
Lake Helen,6745,40.94028,-100.1642,Rip Rap Piles,Unknown
Lake Helen,6746,40.94022,-100.1647,Rip Rap Piles,Unknown
Lake Helen,6747,40.93944,-100.1650,Rip Rap Piles,Unknown
Lake Helen,6748,40.93944,-100.1653,Rip Rap Piles,Unknown
Lake Helen,6749,40.93972,-100.1658,Rip Rap Piles,Unknown
Lake Helen,6750,40.93972,-100.1656,Rip Rap Piles,Unknown
Lake Helen,6751,40.94092,-100.1626,Rip Rap Piles,Unknown
