Waterbody Name,Waterbody Code,Lat,Lon,Structure Name,Year Installed
Red Willow,4910,40.362674,-100.667940,Rocks,2004 & 2012
Red Willow,4910,40.362716,-100.668200,Rocks,2004 & 2012
Red Willow,4910,40.363016,-100.668608,Rocks,2004 & 2012
Red Willow,4910,40.362864,-100.668510,Rocks,2004 & 2012
Red Willow,4910,40.363085,-100.668798,Rocks,2004 & 2012
Red Willow,4910,40.363209,-100.669001,Rocks,2004 & 2012
Red Willow,4910,40.363261,-100.669120,Rocks,2004 & 2012
Red Willow,4910,40.363321,-100.669298,Rocks,2004 & 2012
Red Willow,4910,40.363826,-100.669947,Rocks,2004 & 2012
Red Willow,4910,40.362818,-100.667955,Rocks,2004 & 2012
Red Willow,4910,40.362713,-100.667740,Rocks,2004 & 2012
Red Willow,4910,40.362543,-100.667654,Rocks,2004 & 2012
Red Willow,4910,40.362456,-100.667498,Rocks,2004 & 2012
Red Willow,4910,40.362474,-100.666839,Trees,2004 & 2012
Red Willow,4910,40.362418,-100.666320,Trees,2004 & 2012
Red Willow,4910,40.362292,-100.666376,Trees,2004 & 2012
Red Willow,4910,40.361643,-100.666371,Rocks,2004 & 2012
Red Willow,4910,40.360718,-100.666796,Rocks,2004 & 2012
Red Willow,4910,40.360206,-100.667325,Rocks,2004 & 2012
Red Willow,4910,40.360186,-100.666818,Rocks,2004 & 2012
Red Willow,4910,40.363391,-100.666320,Trees,2004 & 2012
Red Willow,4910,40.362663,-100.665631,Trees,2004 & 2012
Red Willow,4910,40.362641,-100.665254,Trees,2004 & 2012
Red Willow,4910,40.363978,-100.666240,Trees,2004 & 2012
Red Willow,4910,40.363739,-100.665952,Trees,2004 & 2012
Red Willow,4910,40.365473,-100.665653,Trees,2004 & 2012
Red Willow,4910,40.379325,-100.676502,RW DH 1,2004 & 2012
Red Willow,4910,40.379325,-100.676502,RW DH 1,2004 & 2012
Red Willow,4910,40.379325,-100.676502,RW DH 1,2004 & 2012
Red Willow,4910,40.380277,-100.676019,RW DH 2,2004 & 2012
Red Willow,4910,40.380277,-100.676019,RW DH 2,2004 & 2012
Red Willow,4910,40.380277,-100.676019,RW DH 2,2004 & 2012
Red Willow,4910,40.360900,-100.685961,Trees,2004 & 2012
Red Willow,4910,40.360900,-100.685961,Trees,2004 & 2012
Red Willow,4910,40.360900,-100.685961,Trees,2004 & 2012
Red Willow,4910,40.354943,-100.681355,Brush Piles,2004 & 2012
Red Willow,4910,40.351931,-100.681203,Brush Piles,2004 & 2012
Red Willow,4910,40.352875,-100.680379,Brush Piles,2004 & 2012
Red Willow,4910,40.365123,-100.677171,Brush Piles,2004 & 2012
